League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
England EFL League One,2024-10-01,15:45:00,9,Cambridge United,Rotherham United,3.75,2.2,2.88,3.12,3.44,2.27,1.4,2.75,1.05,9.0,1.26,3.4,1.98,1.88,1.75,2.0,1.64,1.31,1.36,0.5,0.33,1.42,1.6,3.02,2.08,6.4,1.79,1.28,3.3,1.49,2.4,1.79,1.9,2.23,1.56,2.9,1.34
England EFL League One,2024-10-01,15:45:00,9,Crawley Town,Mansfield Town,3.2,2.3,3.0,2.71,3.64,2.43,1.3,3.4,1.04,10.0,1.18,4.4,1.67,2.05,1.57,2.25,1.56,1.28,1.46,1.33,1.5,0.81,1.26,2.07,2.05,6.25,1.84,1.25,3.45,1.46,2.5,1.73,1.97,2.15,1.61,2.7,1.38
England EFL League One,2024-10-01,15:45:00,9,Leyton Orient,Exeter City,2.75,2.2,4.0,2.12,3.52,3.38,1.4,2.75,1.01,11.5,1.26,3.55,1.95,1.9,1.75,2.0,1.3,1.3,1.77,0.33,1.0,1.36,1.06,2.42,1.75,6.4,2.15,1.24,3.55,1.44,2.55,1.72,1.98,2.12,1.63,2.65,1.4
England EFL League One,2024-10-01,15:45:00,9,Northampton Town,Bolton Wanderers,4.75,2.25,2.4,4.2,3.78,1.82,1.36,3.0,1.05,9.5,1.22,3.42,1.86,1.96,1.8,1.95,2.01,1.27,1.22,1.33,1.5,1.19,1.17,2.36,2.65,0.0,1.52,1.27,0.0,1.48,2.43,1.77,1.92,2.18,1.58,0.0,1.37
England EFL League One,2024-10-01,15:45:00,9,Shrewsbury Town,Stockport County,4.5,2.1,2.6,3.83,3.56,1.96,1.4,2.75,1.05,9.0,1.29,3.5,2.01,1.81,1.91,1.91,0.0,0.0,0.0,1.0,1.67,1.22,1.37,2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England EFL League One,2024-10-01,15:45:00,9,Bristol Rovers,Charlton Athletic,3.6,2.2,3.0,3.01,3.44,2.33,1.4,2.75,1.03,9.0,1.25,3.8,1.98,1.88,1.75,2.0,1.62,1.3,1.4,2.0,2.0,1.24,0.92,2.16,2.0,6.4,1.86,1.24,3.55,1.41,2.63,1.68,2.02,2.07,1.66,2.63,1.41
England EFL League One,2024-10-01,15:45:00,9,Wigan Athletic,Peterborough United,3.2,2.25,3.1,2.62,3.58,2.54,1.33,3.25,0.0,0.0,0.0,0.0,1.72,2.0,1.62,2.2,0.0,0.0,0.0,1.33,2.33,0.73,1.53,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England Championship,2024-10-01,15:45:00,8,Coventry City,Blackburn Rovers,2.4,2.25,4.0,2.01,3.72,3.5,1.32,3.22,1.03,15.25,1.17,3.88,1.64,2.28,1.6,2.2,1.28,1.28,1.85,1.0,1.0,2.03,0.94,2.97,1.61,7.0,2.48,1.11,5.3,1.21,3.8,1.37,2.8,1.58,2.18,1.91,1.78
England Championship,2024-10-01,15:45:00,8,Luton Town,Oxford United,2.1,2.25,5.0,1.7,3.95,4.76,1.35,3.1,1.03,14.5,1.25,3.9,1.68,2.17,1.78,1.95,1.19,1.24,2.25,1.0,0.0,1.26,0.87,2.13,1.38,7.5,3.3,1.2,3.95,1.35,2.9,1.57,2.23,1.9,1.78,2.35,1.5
England Championship,2024-10-01,15:45:00,8,Queens Park Rangers,Hull City,2.85,2.1,3.5,2.12,3.52,3.38,1.4,2.8,1.06,11.75,1.3,3.57,1.89,1.91,1.7,2.05,1.38,1.32,1.62,0.67,1.33,1.63,1.1,2.73,1.7,6.5,2.23,1.23,3.65,1.41,2.65,1.67,2.05,2.02,1.67,2.55,1.44
England Championship,2024-10-01,15:45:00,8,Sunderland,Derby County,2.35,2.26,5.28,1.84,3.68,4.24,1.4,2.95,1.04,8.2,1.25,3.2,1.92,1.88,1.95,1.78,1.2,1.28,2.06,3.0,0.0,1.26,0.94,2.2,1.45,7.0,3.05,1.2,3.95,1.35,2.9,1.58,2.2,1.91,1.78,2.38,1.5
England Championship,2024-10-01,15:45:00,8,Norwich City,Leeds United,4.0,2.1,2.5,3.75,3.74,1.93,1.36,3.2,1.01,11.0,1.2,4.0,1.75,2.0,1.65,2.2,1.9,1.24,1.28,1.67,2.33,1.53,1.34,2.87,1.71,6.75,2.33,1.17,4.35,1.3,3.15,1.5,2.4,1.79,1.9,2.2,1.58
England Championship,2024-10-01,15:45:00,8,Burnley,Plymouth Argyle,1.88,2.45,5.75,1.45,4.8,6.47,1.28,3.4,1.02,18.75,1.19,4.82,1.59,2.37,1.72,2.0,1.13,1.19,2.7,2.33,0.33,1.43,0.63,2.06,1.23,9.0,4.4,1.1,5.6,1.2,3.95,1.33,2.95,1.53,2.32,1.81,1.88
England Championship,2024-10-01,15:45:00,8,Cardiff City,Millwall,3.6,1.91,3.3,2.89,3.1,2.59,1.55,2.25,1.08,6.5,1.5,2.45,2.55,1.52,2.1,1.68,1.5,1.38,1.42,0.0,0.67,1.02,1.46,2.48,1.58,6.5,2.65,1.33,2.95,1.57,2.2,1.95,1.75,2.43,1.48,3.15,1.3
England Championship,2024-10-01,16:00:00,8,West Bromwich Albion,Middlesbrough,2.9,2.1,3.5,2.35,3.44,2.97,1.4,2.75,1.06,11.25,1.31,3.52,1.9,1.9,1.72,2.0,1.4,1.32,1.6,2.33,1.0,1.29,1.47,2.76,1.8,7.0,2.18,1.19,4.1,1.33,2.95,1.55,2.25,1.88,1.8,2.33,1.52
England EFL League One,2024-10-01,16:00:00,9,Reading,Burton Albion,2.2,2.4,4.75,1.68,4.15,4.66,1.3,3.4,1.02,13.0,1.16,4.5,1.72,2.0,1.67,2.1,1.22,0.0,2.09,2.0,1.0,1.41,1.24,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Primera División,2024-10-01,18:30:00,16,Tigre,Independiente,4.0,1.83,3.5,3.0,2.9,2.6,1.67,2.1,1.11,5.3,1.58,2.25,2.88,1.4,2.25,1.57,1.4,1.36,1.38,1.13,1.2,1.31,1.07,2.38,2.0,7.5,2.1,1.45,2.5,1.8,1.91,2.33,1.52,3.15,1.29,4.5,1.16
Argentina Primera División,2024-10-01,20:30:00,16,Rosario Central,Vélez Sarsfield,4.0,1.91,3.2,3.5,3.0,2.3,1.57,2.25,1.1,6.5,1.5,2.45,2.6,1.48,2.1,1.67,1.63,1.36,1.32,1.27,2.2,1.23,1.37,2.6,1.95,7.5,2.1,1.36,2.85,1.7,2.05,2.08,1.65,2.75,1.38,3.85,1.21
