League,Date,Time,Rodada,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre
Austria 2. Liga,2023-09-29,13:10:00,9,Dornbirn,SV Stripfing Weiden,2.43,3.2,2.29,0.0,0.0,0.0,0.0,1.66,2.01,0.0,0.0,1.62,2.2,1.51,1.27,1.45,1.5,1.0,1.13,1.57,2.7
Austria 2. Liga,2023-09-29,13:10:00,9,Ried,Horn,1.68,3.43,3.67,0.0,0.0,0.0,0.0,1.59,2.13,0.0,0.0,1.67,2.1,1.2,1.2,1.95,2.33,0.0,1.58,1.52,3.1
Germany 2. Bundesliga,2023-09-29,13:30:00,8,Hamburger SV,Fortuna Düsseldorf,1.75,3.9,4.0,1.04,11.0,1.18,4.5,1.4,2.75,1.23,3.8,1.44,2.6,1.28,1.23,1.88,3.0,2.33,2.42,1.61,4.03
Germany 2. Bundesliga,2023-09-29,13:30:00,8,Paderborn,Schalke 04,2.38,3.6,2.6,1.04,11.0,1.18,4.5,1.57,2.2,1.27,3.4,1.44,2.55,1.46,1.26,1.55,1.33,0.25,1.7,1.36,3.06
Serbia SuperLiga,2023-09-29,13:30:00,10,Vojvodina,IMT Novi Beograd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.75,1.62,1.46,3.08
Portugal LigaPro,2023-09-29,14:00:00,6,Vilaverdense,Benfica II,2.5,3.3,2.45,1.05,9.0,1.25,3.75,1.75,1.87,1.36,3.0,1.67,2.1,1.5,1.29,1.5,0.0,0.5,1.91,1.24,3.15
Turkey Süper Lig,2023-09-29,14:00:00,7,Samsunspor,Gazişehir Gaziantep,2.1,3.7,3.1,1.05,13.0,1.25,3.82,1.77,2.05,1.4,3.2,1.68,2.2,1.38,1.33,1.75,0.0,0.0,0.61,1.13,1.74
Switzerland Challenge League,2023-09-29,14:30:00,9,Wil,Aarau,1.93,3.14,3.09,0.0,0.0,0.0,0.0,1.71,1.98,0.0,0.0,1.62,2.2,1.25,1.22,1.72,2.33,1.0,1.56,1.41,2.97
Netherlands Eerste Divisie,2023-09-29,15:00:00,8,De Graafschap,Roda JC,2.45,3.6,2.7,1.03,15.0,1.22,4.2,1.72,2.1,1.3,3.2,1.6,2.3,1.47,1.25,1.57,1.33,2.0,1.5,1.33,2.83
Netherlands Eerste Divisie,2023-09-29,15:00:00,8,Cambuur,PSV II,1.36,4.75,7.5,1.02,22.0,1.14,4.9,1.48,2.5,1.25,3.55,1.65,2.05,1.08,1.13,2.9,2.5,1.0,2.08,1.08,3.16
Romania Liga I,2023-09-29,15:00:00,11,Oţelul Galaţi,Dinamo Bucureşti,2.25,3.1,3.0,1.1,6.5,1.44,2.62,2.32,1.43,1.5,2.5,2.0,1.73,1.33,1.36,1.55,0.8,1.0,1.42,1.09,2.51
Netherlands Eerste Divisie,2023-09-29,15:00:00,8,Telstar,Ajax II,2.3,3.6,2.85,1.02,15.0,1.2,4.33,1.66,2.2,1.29,3.35,1.55,2.35,1.44,1.22,1.62,0.0,0.0,1.49,1.5,2.99
Netherlands Eerste Divisie,2023-09-29,15:00:00,8,Eindhoven,Dordrecht,1.63,4.2,4.75,1.02,17.0,1.2,4.5,1.62,2.25,1.28,3.4,1.63,2.2,1.18,1.18,2.25,1.67,2.0,1.31,1.48,2.79
Netherlands Eerste Divisie,2023-09-29,15:00:00,8,Groningen,Den Bosch,1.33,5.0,9.0,1.02,17.0,1.2,4.5,1.62,2.25,1.28,3.4,1.95,1.83,1.05,1.12,3.3,1.75,0.0,1.97,0.87,2.84
Netherlands Eerste Divisie,2023-09-29,15:00:00,8,Oss,Emmen,3.4,3.75,2.0,1.02,17.0,1.2,4.5,1.62,2.25,1.28,3.4,1.57,2.4,1.83,1.22,1.3,1.0,2.0,1.35,1.62,2.97
Netherlands Eerste Divisie,2023-09-29,15:00:00,8,AZ II,Willem II,2.8,3.75,2.3,1.02,15.0,1.2,4.33,1.65,2.25,1.28,3.4,1.53,2.4,1.62,1.22,1.44,2.5,0.67,1.77,1.02,2.79
Netherlands Eerste Divisie,2023-09-29,15:00:00,8,MVV,ADO Den Haag,2.8,3.75,2.3,1.02,19.0,1.17,5.0,1.55,2.45,1.26,3.5,1.47,2.6,1.62,1.22,1.44,1.5,2.0,1.15,1.18,2.33
Switzerland Challenge League,2023-09-29,15:15:00,9,Neuchâtel Xamax,Sion,3.09,3.14,1.93,0.0,0.0,0.0,0.0,1.71,1.98,0.0,0.0,1.66,2.09,1.7,1.27,1.31,1.75,2.0,1.59,1.88,3.47
Poland Ekstraklasa,2023-09-29,15:30:00,10,Piast Gliwice,Widzew Łódź,1.58,3.57,4.61,1.06,9.5,1.3,3.4,1.83,1.78,1.39,2.8,1.9,1.83,1.11,1.2,2.1,1.25,0.4,1.77,1.17,2.94
Austria 2. Liga,2023-09-29,15:30:00,9,St. Pölten,Grazer AK,2.1,3.19,2.7,0.0,0.0,0.0,0.0,1.7,1.95,0.0,0.0,1.67,2.1,1.3,1.22,1.7,1.5,2.25,1.4,1.56,2.96
Germany Bundesliga,2023-09-29,15:30:00,6,Hoffenheim,Borussia Dortmund,3.1,4.2,2.0,1.02,29.0,1.12,6.5,1.4,2.9,1.22,4.0,1.4,2.75,1.73,1.24,1.35,1.5,2.0,1.47,1.64,3.11
Republic of Ireland Premier Division,2023-09-29,15:45:00,32,Derry City,UCD,1.05,15.38,24.01,1.01,11.0,1.08,6.2,1.27,3.19,1.2,4.0,2.65,1.4,1.01,1.03,4.9,1.73,0.13,1.77,0.92,2.69
Republic of Ireland Premier Division,2023-09-29,15:45:00,32,Bohemians,Sligo Rovers,1.97,3.27,3.15,1.01,9.9,1.25,3.75,1.72,1.89,1.35,2.95,1.74,2.02,1.22,1.26,1.97,1.87,0.8,1.67,1.35,3.02
Republic of Ireland Premier Division,2023-09-29,15:45:00,32,Cork City,St Patrick's Athl.,3.19,3.29,1.95,1.02,10.0,1.22,4.0,1.65,2.03,1.35,2.95,1.62,2.21,1.76,1.27,1.32,1.4,1.53,1.19,1.39,2.58
Republic of Ireland Premier Division,2023-09-29,15:45:00,32,Dundalk,Drogheda United,1.73,3.52,3.74,1.04,11.0,1.2,4.2,1.6,2.11,1.33,3.05,1.66,2.15,1.17,1.23,2.22,1.81,1.27,1.59,1.18,2.77
Belgium Pro League,2023-09-29,15:45:00,9,KV Kortrijk,Cercle Brugge,3.52,3.52,1.78,1.02,17.0,1.16,5.0,1.6,2.2,1.24,3.7,1.55,2.4,2.2,1.18,1.2,0.5,1.5,1.17,1.75,2.92
Republic of Ireland Premier Division,2023-09-29,15:45:00,32,Shamrock Rovers,Shelbourne,1.76,3.25,3.96,1.03,8.5,1.33,3.2,1.94,1.71,1.41,2.7,2.01,1.75,1.15,1.25,2.17,2.2,1.47,1.93,1.21,3.14
England Championship,2023-09-29,16:00:00,9,Sheffield Wednesday,Sunderland,2.88,3.25,2.4,1.05,11.0,1.32,3.4,1.85,1.87,1.42,2.95,1.75,2.05,1.63,1.28,1.38,0.25,1.75,0.86,1.57,2.43
Spain La Liga,2023-09-29,16:00:00,8,FC Barcelona,Sevilla FC,1.33,5.5,8.0,1.02,19.0,1.17,5.0,1.53,2.45,1.26,3.5,1.77,1.93,1.09,1.16,3.0,3.0,0.5,2.16,1.39,3.55
France Ligue 1,2023-09-29,16:00:00,7,Strasbourg,Lens,2.8,3.6,2.38,1.05,12.0,1.3,3.5,1.83,1.91,1.4,2.75,1.75,2.0,1.62,1.3,1.35,2.33,0.0,1.28,1.13,2.41
Spain Segunda División,2023-09-29,16:00:00,8,Leganés,Racing Santander,2.15,3.1,3.5,1.09,7.0,1.5,2.37,2.4,1.5,1.55,2.32,2.1,1.68,1.25,1.3,1.65,2.0,0.67,1.34,1.28,2.62
Portugal Liga NOS,2023-09-29,16:15:00,7,Benfica,Porto,2.05,3.4,3.5,0.0,0.0,0.0,0.0,1.91,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.44,1.23,3.67
Brazil Serie B,2023-09-29,19:00:00,30,Avaí,Sport Recife,2.87,2.84,2.32,1.13,6.25,1.53,2.35,2.63,1.39,1.58,2.2,2.2,1.58,1.6,1.37,1.31,1.2,1.29,1.42,1.27,2.69
Argentina Primera División,2023-09-29,20:00:00,7,Tigre,Vélez Sarsfield,2.2,2.85,3.19,1.09,6.83,1.5,2.63,2.5,1.5,1.57,2.25,2.1,1.67,1.3,1.3,1.65,1.25,0.56,1.82,1.09,2.91
Paraguay Division Profesional,2023-09-29,20:00:00,13,Sportivo Trinidense,General Caballero JLM,1.98,3.05,3.05,0.0,0.0,0.0,0.0,1.85,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,0.94,1.38,1.12,2.5
