League,Date,Time,Rodada,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre
South Korea K League 1,2023-09-30,07:00:00,32,Incheon United,Suwon Bluewings,1.84,3.4,4.1,1.05,8.0,1.33,3.0,2.2,1.67,1.43,2.63,1.85,1.85,1.25,1.3,1.88,1.38,0.87,1.49,1.28,2.77
Japan J1 League,2023-09-30,07:00:00,29,Sanfrecce Hiroshima,Nagoya Grampus,1.85,3.4,4.2,1.07,6.8,1.36,3.0,2.1,1.68,1.44,2.6,1.9,1.83,1.2,1.25,1.85,1.93,1.23,1.94,1.36,3.3
Japan J1 League,2023-09-30,07:00:00,29,Sagan Tosu,Kyoto Sanga,2.35,3.5,2.75,1.04,8.5,1.22,4.0,1.67,2.14,1.33,3.05,1.6,2.25,1.36,1.22,1.57,1.14,0.86,1.2,1.15,2.35
Portugal LigaPro,2023-09-30,07:00:00,6,UD Oliveirense,Santa Clara,3.2,3.15,2.14,1.07,7.5,1.36,3.0,1.99,1.67,1.4,2.75,1.85,1.85,1.65,1.33,1.3,2.33,2.0,1.73,1.38,3.11
Turkey Süper Lig,2023-09-30,07:30:00,7,Sivasspor,Hatayspor,1.98,3.5,3.5,1.03,10.65,1.27,3.61,1.9,1.9,1.42,3.1,1.7,2.15,1.36,1.33,1.78,0.67,1.67,1.1,1.32,2.42
Germany 2. Bundesliga,2023-09-30,08:00:00,8,Karlsruher SC,Holstein Kiel,1.9,3.8,3.6,1.04,11.0,1.18,4.5,1.54,2.26,1.24,3.7,1.42,2.7,1.25,1.18,1.75,1.67,2.0,1.94,1.38,3.32
Germany 2. Bundesliga,2023-09-30,08:00:00,8,Hannover 96,Wehen Wiesbaden,1.7,4.0,4.5,1.04,11.0,1.18,4.5,1.6,2.33,1.29,3.35,1.62,2.25,1.15,1.18,2.15,1.33,1.0,1.98,1.46,3.44
Germany 2. Bundesliga,2023-09-30,08:00:00,8,Hansa Rostock,Eintracht Braunschweig,2.15,3.5,3.2,1.05,10.0,1.25,3.75,1.81,2.0,1.35,3.05,1.68,2.1,1.25,1.22,1.8,1.5,0.0,1.51,1.0,2.51
Scotland Premiership,2023-09-30,08:30:00,7,Motherwell,Celtic,8.5,5.3,1.32,1.02,17.0,1.18,4.75,1.55,2.35,1.29,3.5,1.95,1.8,3.2,1.16,1.07,2.0,3.0,1.57,1.68,3.25
Estonia Meistriliiga,2023-09-30,08:30:00,30,Harju Jalgpallikool,Nõmme Kalju,9.5,6.5,1.18,1.01,11.0,1.11,5.65,1.38,2.9,1.25,3.6,1.83,1.9,4.33,1.06,1.02,0.53,1.21,1.19,1.6,2.79
England Championship,2023-09-30,08:30:00,9,Southampton,Leeds United,2.5,3.4,2.7,1.02,10.0,1.18,4.33,1.64,2.25,1.3,3.4,1.5,2.5,1.55,1.26,1.35,1.0,1.75,1.83,1.23,3.06
England Premier League,2023-09-30,08:30:00,7,Aston Villa,Brighton & Hove Albion,2.75,3.85,2.48,1.01,24.0,1.14,6.2,1.53,2.59,1.22,4.0,1.4,2.75,1.5,1.26,1.58,3.0,3.0,1.72,1.71,3.43
Romania Liga I,2023-09-30,08:30:00,11,UTA Arad,Voluntari,2.25,2.9,2.8,1.07,7.5,1.49,2.44,2.48,1.52,1.4,2.75,1.8,1.91,1.35,1.3,1.6,1.5,0.8,1.15,1.37,2.52
China Chinese Super League,2023-09-30,08:35:00,27,Zhejiang FC,Henan Jianye,1.87,3.6,3.8,1.03,9.0,1.18,4.61,1.67,2.0,1.34,3.23,1.5,2.4,1.24,1.24,1.99,1.77,0.69,1.38,1.24,2.62
China Chinese Super League,2023-09-30,08:35:00,27,Shanghai Shenhua,Qingdao Jonoon,1.62,3.8,5.0,1.05,7.8,1.3,3.38,1.92,1.78,1.4,2.94,1.89,1.87,1.18,1.26,2.13,1.92,0.23,1.44,1.2,2.64
Italy Serie B,2023-09-30,09:00:00,8,FeralpiSalò,Spezia,3.5,3.1,2.05,1.05,7.2,1.4,2.64,2.3,1.62,1.5,2.5,2.0,1.75,1.72,1.33,1.28,0.33,0.33,1.0,1.48,2.48
Italy Serie B,2023-09-30,09:00:00,8,Brescia,Ascoli,2.1,3.25,3.5,1.08,7.0,1.4,2.7,2.28,1.58,1.49,2.4,1.98,1.73,1.27,1.33,1.7,2.0,0.25,0.98,1.22,2.2
Italy Serie B,2023-09-30,09:00:00,8,Pisa,Cosenza,1.8,3.6,4.2,1.03,8.2,1.32,2.98,2.07,1.71,1.43,2.6,1.95,1.75,1.21,1.28,1.95,0.5,1.33,0.91,0.94,1.85
Italy Serie B,2023-09-30,09:00:00,8,Modena,Venezia,2.4,3.2,2.9,1.02,8.6,1.29,3.14,2.0,1.76,1.42,2.65,1.75,1.95,1.39,1.33,1.53,2.33,1.67,1.48,1.05,2.53
Spain La Liga,2023-09-30,09:00:00,8,Getafe CF,Villarreal,2.9,3.3,2.6,1.07,8.0,1.36,3.1,2.07,1.76,1.49,2.57,1.8,1.88,1.5,1.29,1.42,2.33,1.33,1.28,1.33,2.61
Austria 2. Liga,2023-09-30,09:30:00,9,Floridsdorfer AC,Schwarz-Weiß Bregenz,1.73,3.75,3.9,0.0,0.0,0.0,0.0,1.67,2.15,0.0,0.0,1.73,2.0,0.0,0.0,0.0,2.5,2.25,1.57,1.44,3.01
Austria 2. Liga,2023-09-30,09:30:00,9,Kapfenberger SV,Admira,3.0,3.8,2.15,0.0,0.0,0.0,0.0,1.73,2.08,0.0,0.0,1.67,2.1,1.66,1.22,1.36,1.33,0.33,1.04,1.34,2.38
Sweden Allsvenskan,2023-09-30,10:00:00,25,Djurgården,Halmstad,1.42,4.6,7.5,1.03,13.0,1.24,4.2,1.79,2.02,1.33,3.3,1.92,1.87,1.1,1.17,2.75,2.33,1.17,1.79,1.24,3.03
Norway Eliteserien,2023-09-30,10:00:00,18,Stabæk,Tromsø,3.2,3.25,2.38,1.06,9.5,1.33,3.4,2.12,1.73,1.4,2.7,1.73,1.95,1.6,1.25,1.36,1.2,1.9,1.38,1.06,2.44
Norway First Division,2023-09-30,10:00:00,25,Jerv,Sogndal,3.45,3.85,1.97,1.02,12.0,1.15,4.75,1.57,2.4,1.25,3.75,1.5,2.5,1.73,1.25,1.33,1.25,1.17,1.38,1.54,2.92
Norway First Division,2023-09-30,10:00:00,25,Kristiansund,KFUM,2.4,3.4,2.55,1.03,11.0,1.17,4.5,1.53,2.4,1.29,3.5,1.53,2.38,1.4,1.25,1.6,2.0,1.5,1.65,1.44,3.09
Norway First Division,2023-09-30,10:00:00,25,Mjøndalen,Skeid,1.5,4.5,5.75,1.02,12.0,1.13,4.75,1.58,2.38,1.27,3.56,1.68,2.11,1.12,1.18,2.66,1.08,0.5,1.34,1.08,2.42
Slovenia PrvaLiga,2023-09-30,10:00:00,11,Bravo,Domžale,2.4,3.0,2.5,1.02,9.0,1.27,3.28,1.85,1.76,1.4,2.7,1.72,1.98,1.44,1.31,1.49,2.25,1.0,1.42,1.66,3.08
Norway First Division,2023-09-30,10:00:00,25,Sandnes Ulf,Start,2.6,3.4,2.38,1.02,12.0,1.17,4.5,1.45,2.43,1.29,3.5,1.5,2.5,1.57,1.25,1.44,1.25,1.0,1.56,1.24,2.8
Denmark Superliga,2023-09-30,10:00:00,10,København,Midtjylland,1.73,3.85,4.6,1.05,10.0,1.22,4.2,1.71,2.15,1.33,3.25,1.67,2.1,1.2,1.22,2.0,2.25,1.0,1.98,1.0,2.98
Poland Ekstraklasa,2023-09-30,10:00:00,10,ŁKS Łódź,Cracovia Kraków,2.8,3.1,2.6,1.08,8.0,1.4,2.8,2.12,1.68,1.47,2.5,1.9,1.83,1.5,1.25,1.47,1.75,1.25,1.3,1.52,2.82
Czech Republic First League,2023-09-30,10:00:00,10,Sigma Olomouc,Baník Ostrava,2.25,3.25,3.1,1.05,9.0,1.25,3.75,1.94,1.9,1.35,2.95,1.62,2.2,1.38,1.25,1.6,3.0,0.25,1.65,1.27,2.92
Czech Republic First League,2023-09-30,10:00:00,10,Jablonec,Slovácko,2.8,3.1,2.5,1.02,9.2,1.28,3.4,2.01,1.78,1.4,2.75,1.7,2.1,1.53,1.25,1.42,0.67,1.75,1.12,1.3,2.42
France Ligue 2,2023-09-30,10:00:00,9,Troyes,Saint-Étienne,2.9,3.25,2.2,1.06,9.0,1.3,3.5,1.93,1.83,1.4,2.75,1.7,2.0,1.6,1.25,1.36,1.33,1.75,1.41,1.43,2.84
Italy Serie A,2023-09-30,10:00:00,7,Lecce,Napoli,4.2,3.8,1.81,1.05,11.0,1.32,3.4,1.82,1.98,1.4,2.95,1.85,1.95,2.0,1.24,1.22,3.0,1.67,1.76,1.51,3.27
Portugal LigaPro,2023-09-30,10:00:00,6,CS Marítimo,CD Mafra,1.94,3.35,3.6,1.07,7.5,1.33,3.25,1.95,1.7,1.4,2.75,1.83,1.87,1.25,1.28,1.76,1.5,0.33,1.11,1.26,2.37
Turkey Süper Lig,2023-09-30,10:00:00,7,İstanbulspor,Antalyaspor,2.75,3.35,2.43,1.05,13.0,1.25,3.82,1.77,2.05,1.4,3.2,1.63,2.25,1.57,1.33,1.5,0.33,0.33,0.84,1.23,2.07
Turkey Süper Lig,2023-09-30,10:00:00,7,Trabzonspor,Pendikspor,1.47,4.6,5.75,1.03,19.0,1.15,5.17,1.65,2.18,1.3,3.75,1.65,2.2,1.16,1.22,2.7,2.0,0.67,1.49,1.36,2.85
Czech Republic First League,2023-09-30,10:00:00,10,Zlín,České Budějovice,2.1,3.25,3.0,1.04,9.0,1.22,3.95,1.89,1.95,1.35,2.95,1.63,2.2,1.36,1.22,1.66,1.0,0.0,1.19,1.39,2.58
Czech Republic First League,2023-09-30,10:00:00,10,Karviná,Slovan Liberec,2.8,3.25,2.4,1.02,8.9,1.33,3.2,1.96,1.82,1.42,2.65,1.75,2.0,1.53,1.25,1.42,1.0,0.75,1.65,1.58,3.23
Wales Welsh Premier League,2023-09-30,10:30:00,10,Newtown,Bala Town,2.5,3.25,2.45,0.0,0.0,1.22,4.0,1.8,2.0,0.0,0.0,1.6,2.25,1.45,1.22,1.42,1.75,0.75,1.47,1.54,3.01
Wales Welsh Premier League,2023-09-30,10:30:00,10,Barry Town United,Caernarfon Town,2.63,3.3,2.3,0.0,0.0,1.22,4.0,1.66,2.1,0.0,0.0,1.57,2.3,1.55,1.28,1.38,1.25,1.75,1.44,1.65,3.09
Wales Welsh Premier League,2023-09-30,10:30:00,10,Colwyn Bay,Cardiff MU,2.9,3.25,2.2,0.0,0.0,1.28,3.5,1.64,2.12,0.0,0.0,1.72,2.05,1.6,1.28,1.32,0.6,1.0,1.24,0.98,2.22
Wales Welsh Premier League,2023-09-30,10:30:00,10,Haverfordwest County,Aberystwyth Town,1.7,3.6,4.2,0.0,0.0,1.22,4.0,1.72,2.01,0.0,0.0,1.72,2.05,1.19,1.24,2.0,0.5,0.8,1.18,0.9,2.08
Wales Welsh Premier League,2023-09-30,10:30:00,10,The New Saints,Pontypridd Town AFC,1.05,15.0,29.0,1.0,36.0,1.06,7.5,1.3,3.4,1.17,4.5,3.5,1.29,1.01,1.02,5.75,2.5,1.0,3.07,1.43,4.5
Germany Bundesliga,2023-09-30,10:30:00,6,Köln,Stuttgart,2.85,3.7,2.4,1.03,10.0,1.2,4.2,1.7,2.16,1.33,3.25,1.57,2.25,1.6,1.24,1.45,0.0,1.5,1.75,1.33,3.08
Germany Bundesliga,2023-09-30,10:30:00,6,Mainz 05,Bayer Leverkusen,4.75,4.4,1.66,1.02,19.0,1.18,5.0,1.7,2.16,1.29,3.5,1.62,2.2,2.4,1.19,1.17,0.5,2.0,1.4,1.97,3.37
Germany Bundesliga,2023-09-30,10:30:00,6,Bochum,Borussia M'gladbach,2.3,3.8,2.9,1.01,17.0,1.15,5.4,1.7,2.16,1.29,3.5,1.5,2.5,1.44,1.22,1.66,1.0,1.0,2.06,1.88,3.94
Germany Bundesliga,2023-09-30,10:30:00,6,Heidenheim,Union Berlin,3.55,3.65,2.06,1.04,13.0,1.28,3.75,1.83,1.97,1.36,3.0,1.67,2.1,1.68,1.25,1.38,1.5,1.5,1.86,1.75,3.61
Germany Bundesliga,2023-09-30,10:30:00,6,Wolfsburg,Eintracht Frankfurt,2.18,3.65,3.25,1.05,12.0,1.3,3.6,1.74,2.08,1.36,3.0,1.75,2.0,1.33,1.26,1.75,3.0,1.0,1.46,0.94,2.4
England EFL League Two,2023-09-30,11:00:00,10,Crawley Town,Sutton United,2.2,3.5,3.2,1.04,13.0,1.24,3.7,1.76,1.97,1.33,3.25,1.62,2.2,1.35,1.25,1.72,2.4,0.0,1.67,1.35,3.02
England EFL League Two,2023-09-30,11:00:00,10,Colchester United,Notts County,3.35,3.75,2.04,1.03,15.0,1.2,4.0,1.62,2.18,1.3,3.4,1.57,2.25,1.78,1.22,1.33,1.0,1.6,1.54,1.19,2.73
England EFL League Two,2023-09-30,11:00:00,10,Bradford City,Walsall,1.85,3.5,4.3,1.06,10.0,1.32,3.1,1.97,1.76,1.44,2.63,1.83,1.83,1.22,1.25,1.95,2.0,0.8,1.32,1.33,2.65
England EFL League Two,2023-09-30,11:00:00,10,Accrington Stanley,Stockport County,3.3,3.4,2.1,1.04,13.0,1.23,3.7,1.75,1.98,1.36,3.0,1.62,2.2,1.66,1.25,1.38,2.0,1.5,1.51,1.39,2.9
England EFL League One,2023-09-30,11:00:00,10,Reading,Burton Albion,1.83,4.0,3.75,1.05,8.0,1.33,3.0,1.98,1.78,1.44,2.63,2.0,1.75,1.25,1.3,1.88,2.25,0.8,1.6,1.01,2.61
Belgium Pro League,2023-09-30,11:00:00,9,AS Eupen,RSC Anderlecht,4.4,4.0,1.74,1.02,15.0,1.2,4.5,1.58,2.38,1.28,3.4,1.63,2.2,2.15,1.2,1.2,1.0,1.25,1.29,1.43,2.72
Estonia Meistriliiga,2023-09-30,11:00:00,30,Tammeka,Paide,4.5,4.0,1.48,1.03,8.95,1.22,4.0,1.73,1.99,1.29,3.3,1.83,1.9,2.6,1.15,1.08,0.93,1.36,1.51,1.69,3.2
Argentina Primera División,2023-09-30,11:00:00,7,Arsenal de Sarandí,Defensa y Justicia,2.7,3.0,2.8,1.1,8.0,1.48,2.7,2.25,1.62,1.5,2.5,1.83,1.83,1.42,1.33,1.42,1.27,1.27,1.17,1.3,2.47
England EFL League Two,2023-09-30,11:00:00,10,Forest Green Rovers,Morecambe,2.0,3.5,3.7,1.04,11.0,1.3,3.4,1.88,1.85,1.4,2.75,1.73,2.0,1.3,1.25,1.8,0.0,0.0,1.41,0.86,2.27
England EFL League Two,2023-09-30,11:00:00,10,AFC Wimbledon,Tranmere Rovers,1.77,3.75,4.5,1.04,13.0,1.25,3.5,1.84,1.88,1.36,3.0,1.83,1.83,1.2,1.22,2.1,0.75,0.0,1.61,1.25,2.86
England EFL League Two,2023-09-30,11:00:00,10,Barrow,Doncaster Rovers,1.91,3.55,4.0,1.06,7.2,1.28,3.3,1.98,1.75,1.4,2.75,1.83,1.83,1.28,1.25,1.87,2.0,0.75,1.55,1.26,2.81
England EFL League Two,2023-09-30,11:00:00,10,Swindon Town,Grimsby Town,1.87,3.7,4.0,1.03,13.0,1.25,3.75,1.73,2.0,1.33,3.25,1.62,2.2,1.25,1.22,1.95,2.5,0.5,1.81,1.04,2.85
England EFL League Two,2023-09-30,11:00:00,10,Gillingham,Mansfield Town,2.95,3.15,2.5,1.07,7.0,1.36,2.9,2.12,1.65,1.44,2.63,1.83,1.83,1.57,1.28,1.42,2.25,1.4,1.55,1.78,3.33
England EFL League One,2023-09-30,11:00:00,10,Port Vale,Bolton Wanderers,2.87,3.6,2.3,1.05,11.5,1.28,3.3,1.96,1.8,1.4,2.75,1.8,1.95,1.6,1.27,1.38,2.25,1.33,1.59,1.6,3.19
England EFL League One,2023-09-30,11:00:00,10,Lincoln City,Cheltenham Town,1.65,4.2,4.5,1.03,9.0,1.29,3.3,1.9,1.85,1.4,2.75,1.95,1.8,1.19,1.2,2.15,2.33,0.2,1.51,0.93,2.44
England EFL League One,2023-09-30,11:00:00,10,Exeter City,Northampton Town,1.9,3.6,3.8,1.07,8.75,1.4,2.7,2.32,1.57,1.5,2.5,2.05,1.7,1.29,1.33,1.75,1.75,1.0,1.36,1.03,2.39
England EFL League One,2023-09-30,11:00:00,10,Peterborough United,Bristol Rovers,1.83,3.8,3.8,1.04,10.0,1.25,3.75,1.74,2.02,1.33,3.25,1.7,2.05,1.22,1.25,1.95,1.75,1.75,1.56,1.25,2.81
England EFL League One,2023-09-30,11:00:00,10,Barnsley,Blackpool,2.0,3.8,3.2,1.05,11.5,1.3,3.2,1.95,1.85,1.4,2.75,1.8,1.95,1.32,1.25,1.72,1.2,0.33,1.44,1.2,2.64
England EFL League Two,2023-09-30,11:00:00,10,Wrexham,Crewe Alexandra,1.44,4.95,6.2,1.01,23.0,1.13,5.0,1.6,2.2,1.22,4.0,1.57,2.25,1.11,1.12,2.85,2.0,1.25,2.15,1.35,3.5
England EFL League Two,2023-09-30,11:00:00,10,Salford City,Newport County,2.0,3.5,3.5,1.05,8.0,1.22,3.7,1.81,1.99,1.36,3.0,1.67,2.1,1.35,1.25,1.68,0.25,0.75,1.34,1.52,2.86
England EFL League One,2023-09-30,11:00:00,10,Derby County,Cambridge United,1.57,4.2,5.0,1.04,13.0,1.25,3.5,1.85,2.0,1.36,3.0,1.95,1.8,1.16,1.2,2.3,1.0,1.0,1.31,1.38,2.69
England EFL League Two,2023-09-30,11:00:00,10,Milton Keynes Dons,Harrogate Town,1.8,3.75,4.25,1.03,9.0,1.25,3.6,1.78,1.95,1.36,3.0,1.73,2.0,1.22,1.22,2.0,1.75,0.8,1.18,1.13,2.31
England EFL League One,2023-09-30,11:00:00,10,Fleetwood Town,Leyton Orient,2.15,3.75,3.0,1.05,10.5,1.32,3.0,2.0,1.76,1.4,2.75,1.91,1.91,1.35,1.25,1.65,0.0,1.0,0.96,1.31,2.27
England EFL League One,2023-09-30,11:00:00,10,Shrewsbury Town,Charlton Athletic,2.75,3.6,2.37,1.06,8.0,1.3,3.55,1.98,1.78,1.4,2.75,1.8,1.95,1.53,1.3,1.4,1.5,0.33,1.08,1.06,2.14
England Premier League,2023-09-30,11:00:00,7,Newcastle United,Burnley,1.34,5.6,10.5,1.01,18.0,1.14,5.6,1.67,2.21,1.25,3.75,1.91,1.91,1.05,1.14,3.55,2.0,1.0,1.89,1.37,3.26
Scotland Premiership,2023-09-30,11:00:00,7,Hibernian,Dundee,1.75,3.9,4.1,1.02,15.0,1.22,4.2,1.68,2.12,1.3,3.4,1.67,2.1,1.22,1.2,2.1,1.0,0.33,1.77,1.07,2.84
England EFL League One,2023-09-30,11:00:00,10,Wycombe Wanderers,Carlisle United,1.8,3.6,4.2,1.06,10.0,1.35,2.95,2.1,1.8,1.44,2.63,1.95,1.8,1.23,1.24,1.95,1.75,0.5,1.47,1.1,2.57
Scotland Premiership,2023-09-30,11:00:00,7,Kilmarnock,St. Mirren,2.43,3.15,2.95,1.06,10.0,1.38,3.0,2.2,1.63,1.44,2.63,1.95,1.8,1.4,1.28,1.6,1.33,2.33,1.44,1.11,2.55
Scotland Premiership,2023-09-30,11:00:00,7,Rangers,Aberdeen,1.27,5.8,9.5,1.02,12.0,1.15,5.5,1.53,2.5,1.25,3.75,1.95,1.8,1.01,1.1,3.75,2.0,0.67,1.85,0.94,2.79
Scotland Premiership,2023-09-30,11:00:00,7,Ross County,Hearts,3.0,3.4,2.3,1.03,13.0,1.25,3.75,1.75,2.0,1.33,3.25,1.62,2.2,1.6,1.25,1.42,1.33,1.0,1.53,1.62,3.15
Scotland Premiership,2023-09-30,11:00:00,7,St. Johnstone,Livingston,2.65,3.0,2.85,1.08,8.5,1.42,2.8,2.35,1.55,1.5,2.5,1.95,1.8,1.42,1.3,1.53,0.33,1.33,0.93,0.85,1.78
England Premier League,2023-09-30,11:00:00,7,AFC Bournemouth,Arsenal,5.4,5.2,1.55,1.02,20.0,1.16,5.6,1.54,2.3,1.25,3.75,1.67,2.1,2.69,1.19,1.14,0.67,3.0,1.39,1.42,2.81
England Premier League,2023-09-30,11:00:00,7,Everton,Luton Town,1.61,4.1,6.5,1.06,10.0,1.34,3.4,2.0,1.82,1.4,2.75,2.0,1.75,1.14,1.24,2.46,0.0,0.0,1.53,0.94,2.47
England Premier League,2023-09-30,11:00:00,7,Manchester United,Crystal Palace,1.61,4.5,5.5,1.03,15.0,1.23,4.45,1.63,2.28,1.33,3.25,1.75,2.0,1.14,1.21,2.53,2.0,1.33,1.6,1.47,3.07
England Championship,2023-09-30,11:00:00,9,Preston North End,West Bromwich Albion,2.5,3.2,3.0,1.07,9.5,1.4,3.0,2.25,1.64,1.44,2.63,1.91,1.8,1.4,1.28,1.6,3.0,0.75,1.06,1.01,2.07
England Premier League,2023-09-30,11:00:00,7,West Ham United,Sheffield United,1.46,5.0,7.5,1.03,16.0,1.21,4.7,1.58,2.38,1.3,3.4,1.8,1.95,1.11,1.19,2.74,1.5,0.0,1.09,1.02,2.11
England EFL League One,2023-09-30,11:00:00,10,Stevenage,Oxford United,2.55,3.5,2.55,1.06,9.5,1.35,2.9,2.16,1.66,1.44,2.63,1.91,1.91,1.45,1.28,1.52,1.5,2.25,1.44,1.38,2.82
England Championship,2023-09-30,11:00:00,9,Bristol City,Stoke City,2.35,3.35,3.2,1.07,10.25,1.34,3.32,2.0,1.8,1.4,2.75,1.8,1.91,1.4,1.28,1.6,1.25,0.25,1.11,1.25,2.36
England Championship,2023-09-30,11:00:00,9,Cardiff City,Rotherham United,1.73,3.8,5.0,1.04,12.0,1.28,3.75,1.9,1.9,1.36,3.0,1.83,1.83,1.2,1.22,2.1,2.25,0.0,1.37,0.85,2.22
England Championship,2023-09-30,11:00:00,9,Huddersfield Town,Ipswich Town,3.8,3.9,1.92,1.03,16.0,1.21,4.52,1.67,2.2,1.3,3.4,1.57,2.25,1.9,1.22,1.3,1.0,3.0,1.4,1.37,2.77
England Championship,2023-09-30,11:00:00,9,Hull City,Plymouth Argyle,1.95,4.0,3.6,1.02,10.0,1.18,4.33,1.64,2.28,1.3,3.4,1.57,2.25,1.28,1.22,1.92,1.5,0.25,1.48,1.41,2.89
England Premier League,2023-09-30,11:00:00,7,Wolverhampton Wanderers,Manchester City,8.5,5.5,1.38,1.02,20.0,1.17,5.4,1.52,2.61,1.25,3.75,1.91,1.91,3.25,1.1,1.07,0.0,3.0,1.37,2.54,3.91
England Championship,2023-09-30,11:00:00,9,Millwall,Swansea City,2.1,3.35,3.7,1.06,10.0,1.36,3.2,2.12,1.72,1.44,2.63,1.83,1.83,1.3,1.28,1.78,1.5,0.25,1.54,1.12,2.66
England Championship,2023-09-30,11:00:00,9,Norwich City,Birmingham City,1.9,3.8,4.0,1.05,12.25,1.28,3.7,1.9,1.9,1.36,3.0,1.73,2.0,1.26,1.25,1.92,2.25,1.0,1.7,1.28,2.98
England EFL League One,2023-09-30,11:00:00,10,Wigan Athletic,Portsmouth,2.9,3.75,2.2,1.04,8.5,1.3,3.2,2.0,1.8,1.4,2.75,1.8,1.95,1.65,1.27,1.35,2.0,2.0,1.24,1.36,2.6
England Championship,2023-09-30,11:00:00,9,Queens Park Rangers,Coventry City,3.05,3.35,2.38,1.05,12.0,1.28,3.73,1.9,1.9,1.4,2.75,1.67,2.1,1.63,1.28,1.4,0.33,0.5,1.13,1.24,2.37
