League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Spain La Liga,2023-05-02 14:30:00,33,Almería,Elche CF,1.68,4.1,4.63,1.03,15.0,1.22,4.33,1.7,2.08,1.33,3.3,1.7,2.15,1.18,1.2,2.3,1.63,0.38,1.42,0.99,2.41,1.5,8.0,3.05,1.29,1.53,1.89,2.4,3.15
Slovenia PrvaLiga,2023-05-02 15:15:00,34,Maribor,Mura,1.57,4.2,5.0,1.04,11.5,1.22,3.9,1.72,2.05,1.31,3.1,1.75,1.95,1.16,1.17,2.35,1.88,1.19,1.86,1.55,3.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt Egyptian Premier League,2023-05-02 15:30:00,27,El Daklyeh FC,ENPPI,2.63,3.1,2.5,1.09,6.5,1.42,2.65,2.4,1.53,1.53,2.38,2.1,1.67,1.47,1.37,1.43,0.85,1.38,1.22,1.16,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England EFL League One,2023-05-02 15:45:00,38,Shrewsbury Town,Bristol Rovers,2.35,3.3,2.81,1.05,8.0,1.33,3.0,1.85,1.85,1.43,2.63,1.8,1.91,1.25,1.33,1.83,1.5,1.27,1.37,1.21,2.58,1.91,8.0,2.1,1.17,1.27,1.48,1.8,2.35
England National League,2023-05-02 15:45:00,0,Barnet,Boreham Wood,2.55,3.4,2.6,1.04,8.5,1.28,3.55,1.87,1.87,1.4,2.75,1.7,2.05,1.4,1.25,1.52,1.61,1.57,1.55,1.4,2.95,1.81,9.2,2.19,1.12,1.26,1.52,1.85,2.27
France Ligue 1,2023-05-02 16:00:00,33,Toulouse,Lens,4.41,4.0,1.73,1.03,15.0,1.24,4.2,1.68,2.11,1.33,3.25,1.7,2.05,2.0,1.25,1.21,1.38,1.44,1.63,1.7,3.33,2.63,9.3,1.67,1.24,1.48,1.85,2.36,3.14
England Premier League,2023-05-02 16:00:00,34,Arsenal,Chelsea,1.65,4.1,5.13,1.03,11.0,1.25,3.8,1.8,1.95,1.36,3.0,1.8,1.95,1.18,1.24,2.31,2.44,1.07,2.33,1.56,3.89,1.5,9.7,3.15,1.23,1.46,1.81,2.3,3.04
Bolivia LFPB,2023-05-02 16:00:00,11,Club Always Ready,Real Tomayapo,1.59,3.74,4.82,1.03,15.0,1.17,5.0,1.8,2.0,1.29,3.5,1.73,2.0,1.08,1.18,3.0,1.25,0.5,2.21,1.37,3.58,1.26,10.0,4.84,1.26,1.49,1.86,2.45,3.35
Spain La Liga,2023-05-02 17:00:00,33,Real Sociedad,Real Madrid,2.36,3.45,2.93,1.05,11.0,1.32,3.4,1.9,1.84,1.4,2.89,1.75,2.05,1.46,1.34,1.58,1.87,1.94,1.52,1.96,3.48,1.89,7.5,2.2,1.33,1.61,2.0,2.55,3.45
Colombia Categoria Primera B,2023-05-02 17:00:00,15,Atlético,Universitario Popayán,1.85,3.1,3.8,1.1,6.5,1.44,2.62,2.35,1.57,1.44,2.62,2.05,1.7,1.22,1.35,1.8,1.0,0.29,1.54,1.04,2.58,1.69,8.2,2.47,1.36,1.71,2.14,0.0,0.0
Brazil Serie B,2023-05-02 19:00:00,4,Ponte Preta,Botafogo SP,2.25,2.9,3.2,1.09,7.0,1.5,2.5,2.37,1.44,1.52,2.35,2.1,1.63,1.34,1.34,1.58,0.0,3.0,1.83,1.36,3.19,0.0,0.0,0.0,0.0,0.0,1.8,2.38,3.2
Brazil Serie B,2023-05-02 19:00:00,4,CRB,Sampaio Corrêa,2.05,3.0,3.5,1.05,7.0,1.42,2.61,2.25,1.53,1.5,2.37,2.05,1.68,1.28,1.33,1.68,0.0,0.0,0.0,0.93,0.93,0.0,0.0,0.0,0.0,0.0,1.83,2.38,3.2
Brazil Serie C,2023-05-02 19:00:00,1,EC São José,Floresta,1.67,3.3,5.0,1.11,6.0,1.45,2.6,2.4,1.5,1.53,2.37,2.25,1.6,1.12,1.25,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil Serie C,2023-05-02 19:00:00,1,Volta Redonda,Pouso Alegre,1.75,3.3,4.5,1.08,8.0,1.44,2.6,2.4,1.51,1.53,2.37,2.15,1.65,1.2,1.3,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
